year,type,action,male,female
2011,activity,visited friends or family for leisure,22.1,31.9
2011,activity,'special' shopping for items that you do not regularly buy,5.6,7.8
2011,activity,went out for a meal,15.3,23.8
2011,activity,"went on a night out to a bar, pub and/or club",12.9,11.2
2011,activity,"went out for entertainment – to a cinema, concert or theatre",5.0,6.3
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.1,11.8
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.7,3.5
2011,activity,"took part in sports, including exercise classes, going to the gym",4.2,2.2
2011,activity,watched live sporting event (not on tv),6.0,2.2
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.9,6.2
2011,activity,"went to a special public event such as a festival, exhibition, etc.",2.6,4.1
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.7,2.6
2011,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,2.1
2011,activity,went on general days out/ to explore an area,7.7,12.4
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.8,4.8
2012,activity,visited friends or family for leisure,22.6,32.8
2012,activity,'special' shopping for items that you do not regularly buy,6.3,15.4
2012,activity,went out for a meal,15.8,26.6
2012,activity,"went on a night out to a bar, pub and/or club",13.3,12.4
2012,activity,"went out for entertainment – to a cinema, concert or theatre",6.7,9.6
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.0,13.2
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.7,4.8
2012,activity,"took part in sports, including exercise classes, going to the gym",3.8,3.1
2012,activity,watched live sporting event (not on tv),8.0,3.9
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.8,8.3
2012,activity,"went to a special public event such as a festival, exhibition, etc.",2.0,3.8
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,4.0
2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,1.3
2012,activity,went on general days out/ to explore an area,8.1,12.2
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.2,5.1
2013,activity,visited friends or family for leisure,19.0,28.2
2013,activity,'special' shopping for items that you do not regularly buy,7.1,10.2
2013,activity,went out for a meal,14.4,19.2
2013,activity,"went on a night out to a bar, pub and/or club",13.1,7.4
2013,activity,"went out for entertainment – to a cinema, concert or theatre",6.5,6.1
2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.9,10.8
2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.2,4.0
2013,activity,"took part in sports, including exercise classes, going to the gym",4.2,2.0
2013,activity,watched live sporting event (not on tv),6.8,2.8
2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.3,7.1
2013,activity,"went to a special public event such as a festival, exhibition, etc.",2.5,3.8
2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.7,1.7
2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.3,0.8
2013,activity,went on general days out/ to explore an area,9.3,10.1
2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.0,6.4
2014,activity,visited friends or family for leisure,18.7,28.3
2014,activity,'special' shopping for items that you do not regularly buy,8.1,11.4
2014,activity,went out for a meal,14.6,21.6
2014,activity,"went on a night out to a bar, pub and/or club",13.3,9.4
2014,activity,"went out for entertainment – to a cinema, concert or theatre",6.4,6.8
2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.0,11.7
2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.8,3.8
2014,activity,"took part in sports, including exercise classes, going to the gym",3.3,2.1
2014,activity,watched live sporting event (not on tv),8.1,2.4
2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,7.0
2014,activity,"went to a special public event such as a festival, exhibition, etc.",3.7,5.0
2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,2.8
2014,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,1.1
2014,activity,went on general days out/ to explore an area,9.8,12.2
2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.3,7.4
2015,activity,visited friends or family for leisure,24.1,28.3
2015,activity,'special' shopping for items that you do not regularly buy,7.7,10.8
2015,activity,went out for a meal,17.9,21.8
2015,activity,"went on a night out to a bar, pub and/or club",13.6,8.7
2015,activity,"went out for entertainment – to a cinema, concert or theatre",7.5,6.4
2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.2,12.9
2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.6,5.1
2015,activity,"took part in sports, including exercise classes, going to the gym",5.4,3.0
2015,activity,watched live sporting event (not on tv),11.8,2.2
2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.6,6.9
2015,activity,"went to a special public event such as a festival, exhibition, etc.",3.9,5.3
2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.4,2.5
2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.1,1.2
2015,activity,went on general days out/ to explore an area,9.6,11.1
2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.0,4.3
2016,activity,visited friends or family for leisure,16.3,28.1
2016,activity,'special' shopping for items that you do not regularly buy,7.1,10.7
2016,activity,went out for a meal,14.6,21.6
2016,activity,"went on a night out to a bar, pub and/or club",11.5,8.6
2016,activity,"went out for entertainment – to a cinema, concert or theatre",7.1,5.9
2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.2,16.2
2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.6,3.2
2016,activity,"took part in sports, including exercise classes, going to the gym",5.9,2.4
2016,activity,watched live sporting event (not on tv),9.1,3.3
2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.3,6.4
2016,activity,"went to a special public event such as a festival, exhibition, etc.",2.3,3.9
2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.9,2.4
2016,activity,"went on days out to a beauty/health centre/spa, etc.",0.8,1.1
2016,activity,went on general days out/ to explore an area,7.9,11.3
2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.7,3.9
2017,activity,visited friends or family for leisure,23.4,25.6
2017,activity,'special' shopping for items that you do not regularly buy,9.0,11.6
2017,activity,went out for a meal,16.1,22.4
2017,activity,"went on a night out to a bar, pub and/or club",13.6,9.2
2017,activity,"went out for entertainment – to a cinema, concert or theatre",7.3,7.8
2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",18.1,16.5
2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.0,3.4
2017,activity,"took part in sports, including exercise classes, going to the gym",6.0,4.2
2017,activity,watched live sporting event (not on tv),8.9,2.8
2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.3,7.2
2017,activity,"went to a special public event such as a festival, exhibition, etc.",5.0,5.0
2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.0,3.4
2017,activity,"went on days out to a beauty/health centre/spa, etc.",1.6,2.2
2017,activity,went on general days out/ to explore an area,11.6,13.5
2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.5,5.6
2018,activity,visited friends or family for leisure,21.6,23.4
2018,activity,'special' shopping for items that you do not regularly buy,7.1,10.5
2018,activity,went out for a meal,16.0,21.5
2018,activity,"went on a night out to a bar, pub and/or club",11.7,7.0
2018,activity,"went out for entertainment – to a cinema, concert or theatre",7.3,6.0
2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",11.6,13.7
2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.8,4.1
2018,activity,"took part in sports, including exercise classes, going to the gym",5.7,2.9
2018,activity,watched live sporting event (not on tv),7.3,4.0
2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.0,7.7
2018,activity,"went to a special public event such as a festival, exhibition, etc.",2.8,3.8
2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,2.7
2018,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,2.1
2018,activity,went on general days out/ to explore an area,11.7,13.6
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.9,6.3
2019,activity,visited friends or family for leisure,19.8,28.9
2019,activity,'special' shopping for items that you do not regularly buy,6.6,13.1
2019,activity,went out for a meal,13.5,19.7
2019,activity,"went on a night out to a bar, pub and/or club",9.3,8.5
2019,activity,"went out for entertainment – to a cinema, concert or theatre",6.6,6.2
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.8,16.2
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.9,5.7
2019,activity,"took part in sports, including exercise classes, going to the gym",4.2,3.2
2019,activity,watched live sporting event (not on tv),9.1,3.4
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.5,6.5
2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.8,4.5
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.4,3.5
2019,activity,"went on days out to a beauty/health centre/spa, etc.",2.2,2.6
2019,activity,went on general days out/ to explore an area,9.7,14.1
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.7,5.1
2011,place,city/large town,29.4,35.7
2011,place,small town,20.1,23.3
2011,place,village,8.6,9.4
2011,place,rural countryside,12.2,11.9
2011,place,seaside resort or town,5.0,4.9
2011,place,seaside coastline - a beach,3.4,3.6
2011,place,other seaside coastline,1.3,0.8
2011,place,other,1.5,1.9
2012,place,city/large town,32.5,42.8
2012,place,small town,18.4,25.6
2012,place,village,8.4,10.1
2012,place,rural countryside,11.3,13.1
2012,place,seaside resort or town,3.7,5.0
2012,place,seaside coastline - a beach,2.5,3.7
2012,place,other seaside coastline,1.5,0.8
2012,place,other,1.8,1.7
2013,place,city/large town,31.9,36.5
2013,place,small town,16.7,20.7
2013,place,village,8.5,8.3
2013,place,rural countryside,10.7,10.0
2013,place,seaside resort or town,3.9,4.9
2013,place,seaside coastline - a beach,2.7,2.3
2013,place,other seaside coastline,1.1,1.7
2013,place,other,0.8,1.6
2014,place,city/large town,32.0,36.0
2014,place,small town,19.2,20.6
2014,place,village,6.5,7.6
2014,place,rural countryside,10.7,10.6
2014,place,seaside resort or town,5.5,4.0
2014,place,seaside coastline - a beach,1.8,3.3
2014,place,other seaside coastline,1.4,1.1
2015,place,city/large town,36.2,31.4
2015,place,small town,16.2,20.9
2015,place,village,5.3,7.4
2015,place,rural countryside,9.8,10.0
2015,place,seaside resort or town,4.9,3.7
2015,place,seaside coastline - a beach,2.5,2.2
2015,place,other seaside coastline,1.2,0.6
2016,place,city/large town,28.3,32.9
2016,place,small town,17.0,21.6
2016,place,village,6.9,9.9
2016,place,rural countryside,10.2,11.3
2016,place,seaside resort or town,3.0,4.2
2016,place,seaside coastline - a beach,2.3,2.3
2016,place,other seaside coastline,1.4,0.6
2017,place,city/large town,36.2,33.9
2017,place,small town,18.7,21.3
2017,place,village,11.0,7.7
2017,place,rural countryside,8.9,12.0
2017,place,seaside resort or town,4.6,4.6
2017,place,seaside coastline - a beach,4.6,3.7
2017,place,other seaside coastline,1.3,0.4
2018,place,city/large town,31.2,32.3
2018,place,small town,19.5,18.2
2018,place,village,7.3,8.1
2018,place,rural countryside,8.6,8.5
2018,place,seaside resort or town,3.3,4.4
2018,place,seaside coastline - a beach,2.0,3.3
2018,place,other seaside coastline,1.3,0.6
2019,place,city/large town,28.3,30.5
2019,place,small town,17.1,19.4
2019,place,village,6.8,9.5
2019,place,rural countryside,8.4,10.3
2019,place,seaside resort or town,4.3,4.6
2019,place,seaside coastline - a beach,3.7,3.0
2019,place,other seaside coastline,0.6,0.8
2011,transport,any car (net),47.0,56.4
2011,transport,car - own/friends/family,45.1,56.0
2011,transport,car - hired,1.9,0.5
2011,transport,public transport (net),11.7,13.9
2011,transport,train,5.9,6.9
2011,transport,a regular bus\coach,5.8,7.0
2011,transport,organised coach tour,1.3,0.9
2011,transport,taxi,3.2,1.6
2011,transport,walked\on foot,4.1,7.7
2011,transport,bicycle,0.5,0.2
2011,transport,minibus,0.4,0.3
2011,transport,motor cycle,0.3,0.3
2011,transport,tube,0.5,0.2
2011,transport,tram,0.5,0.0
2011,transport,motorised caravan\campervan,0.5,0.0
2011,transport,plane,0.7,0.9
2011,transport,boat\ship\ferry,0.1,0.4
2011,transport,lorry\truck\van,0.1,0.1
2011,transport,other,0.2,0.0
2012,transport,any car (net),50.4,60.4
2012,transport,car - own/friends/family,49.5,59.9
2012,transport,car - hired,1.0,0.5
2012,transport,public transport (net),11.1,17.7
2012,transport,train,5.3,9.3
2012,transport,a regular bus\coach,5.8,8.4
2012,transport,organised coach tour,0.7,1.1
2012,transport,taxi,1.7,2.0
2012,transport,walked\on foot,5.2,5.3
2012,transport,bicycle,1.6,0.4
2012,transport,minibus,0.2,0.4
2012,transport,motor cycle,0.1,0.1
2012,transport,tube,0.2,0.3
2012,transport,tram,0.0,0.1
2012,transport,motorised caravan\campervan,0.0,0.0
2012,transport,plane,0.1,0.5
2012,transport,boat\ship\ferry,0.4,0.4
2012,transport,lorry\truck\van,0.7,1.4
2012,transport,other,0.4,0.7
2013,transport,any car (net),41.4,52.2
2013,transport,car - own/friends/family,40.0,51.6
2013,transport,car - hired,1.3,0.6
2013,transport,public transport (net),15.2,14.8
2013,transport,train,8.3,7.0
2013,transport,a regular bus\coach,6.9,7.8
2013,transport,organised coach tour,1.1,0.6
2013,transport,taxi,1.3,1.9
2013,transport,walked\on foot,4.0,4.5
2013,transport,bicycle,1.3,0.4
2013,transport,minibus,0.1,0.2
2013,transport,motor cycle,0.4,0.1
2013,transport,tube,0.1,0.1
2013,transport,tram,0.0,0.0
2013,transport,motorised caravan\campervan,0.2,0.2
2013,transport,plane,0.1,0.1
2013,transport,boat\ship\ferry,0.2,0.7
2013,transport,lorry\truck\van,0.2,0.2
2013,transport,other,0.4,0.4
2014,transport,car - own/friends/family,42.9,51.6
2014,transport,car - hired,1.1,0.5
2014,transport,public transport,15.0,14.8
2014,transport,train,9.7,6.7
2014,transport,a regular bus\coach,5.3,8.0
2014,transport,organised coach tour,0.6,0.2
2014,transport,taxi,2.7,2.2
2014,transport,walked\on foot,4.4,5.0
2014,transport,bicycle,0.9,0.6
2014,transport,minibus,0.0,0.3
2014,transport,motor cycle,0.2,0.0
2014,transport,tube,0.0,0.0
2014,transport,tram,0.3,0.2
2014,transport,motorised caravan\campervan,0.0,0.1
2014,transport,plane,0.6,0.0
2014,transport,boat\ship\ferry,0.2,0.5
2014,transport,lorry\truck\van,0.2,0.0
2014,transport,other,0.4,0.7
2015,transport,car - own/friends/family,42.7,44.7
2015,transport,car - hired,1.2,0.7
2015,transport,public transport,17.3,16.4
2015,transport,train,10.4,7.0
2015,transport,a regular bus\coach,6.9,9.4
2015,transport,organised coach tour,0.8,1.3
2015,transport,taxi,2.2,1.2
2015,transport,walked\on foot,4.2,4.6
2015,transport,bicycle,0.7,0.3
2015,transport,minibus,0.7,0.3
2015,transport,motor cycle,0.0,0.2
2015,transport,tube,0.0,0.1
2015,transport,tram,0.1,0.2
2015,transport,motorised caravan\campervan,0.1,0.1
2015,transport,plane,0.7,0.4
2015,transport,boat\ship\ferry,0.5,0.3
2015,transport,lorry\truck\van,0.0,0.1
2015,transport,other,0.3,0.4
2016,transport,car - own/friends/family,38.1,53.8
2016,transport,car - hired,1.2,1.3
2016,transport,public transport,13.4,14.5
2016,transport,train,7.4,6.7
2016,transport,a regular bus\coach,6.1,7.8
2016,transport,organised coach tour,1.0,0.5
2016,transport,taxi,3.5,1.4
2016,transport,walked\on foot,3.4,4.5
2016,transport,bicycle,0.2,0.6
2016,transport,tube,0.1,0.4
2016,transport,tram,0.0,0.2
2016,transport,motorised caravan\campervan,0.0,0.5
2016,transport,plane,0.2,0.5
2016,transport,boat\ship\ferry,0.0,0.1
2016,transport,lorry\truck\van,0.1,0.2
2016,transport,other,1.1,1.0
2017,transport,car - own/friends/family,41.0,51.6
2017,transport,car - hired,5.8,0.6
2017,transport,public transport,14.9,14.3
2017,transport,train,8.6,7.4
2017,transport,a regular bus\coach,6.3,6.9
2017,transport,organised coach tour,1.6,1.5
2017,transport,taxi,1.8,2.1
2017,transport,walked\on foot,3.1,5.4
2017,transport,bicycle,0.7,0.7
2017,transport,tube,0.4,0.2
2017,transport,tram,0.4,0.2
2017,transport,motorised caravan\campervan,0.6,0.3
2017,transport,plane,1.6,0.1
2017,transport,boat\ship\ferry,0.0,0.5
2017,transport,lorry\truck\van,0.3,0.2
2017,transport,other,0.7,0.4
2018,transport,car - own/friends/family,40.2,44.0
2018,transport,car - hired,2.1,0.6
2018,transport,public transport,14.9,14.1
2018,transport,train,9.1,7.7
2018,transport,a regular bus\coach,5.8,6.4
2018,transport,organised coach tour,0.4,0.7
2018,transport,taxi,2.0,1.5
2018,transport,walked\on foot,5.5,5.8
2018,transport,bicycle,0.6,0.2
2018,transport,tube,0.5,0.1
2018,transport,tram,0.1,0.3
2018,transport,motorised caravan\campervan,0.1,0.0
2018,transport,plane,0.5,1.2
2018,transport,boat\ship\ferry,0.1,0.0
2018,transport,lorry\truck\van,0.2,0.2
2018,transport,other,0.8,1.2
2019,transport,car - own/friends/family,34.2,45.8
2019,transport,car - hired,1.7,0.6
2019,transport,public transport,13.7,14.9
2019,transport,train,8.3,7.5
2019,transport,a regular bus\coach,5.4,7.3
2019,transport,organised coach tour,1.4,1.1
2019,transport,taxi,3.4,2.3
2019,transport,walked\on foot,3.5,4.0
2019,transport,bicycle,0.8,0.4
2019,transport,tube,1.1,0.5
2019,transport,tram,0.2,0.1
2019,transport,motorised caravan\campervan,0.3,0.1
2019,transport,plane,1.0,0.3
2019,transport,boat\ship\ferry,0.1,0.3
2019,transport,lorry\truck\van,0.2,0.1
2019,transport,other,0.6,0.8
